Name,DisplayName,Faction,Archetype,Tier,UnitSize,HpPerModel,MeleeAttack,MeleeDefence,ChargeBonus,Damage,ArmourPiercing,Armour,Morale,SpeedCmS,RangedAttack,RangeCm,Ammo,ModelScale,Cost,Upkeep,Ability,Weapon,Headgear,ColourPrimary,ColourSecondary,MeshHead,MeshTorso,MeshLegs,MeshHat,MeshWeapon,Image,AssetStatus,Notes
HRO_ZOLTAR,Zoltar,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_VENOM_CLOUD,,,#3C7A3C,#C8A22A,,,,,,,todo,Venomari Scout.
LRD_OVERLORD,The Overlord,STONE_ARMY,LORD,LORD,1,1200,12,10,12,45,25,8,99,357,0,0,0,1.25,1105,110,AB_DARKNESS_FALLS,,,#1C1C1C,#B03030,,,,,,,todo,Creator of the Stone Army. The first evil.
LRD_KOZU,General Kozu,STONE_ARMY,LORD,LORD,1,1200,12,10,12,45,25,8,99,357,0,0,0,1.25,1105,110,AB_FOUR_BLADES,,,#1C1C1C,#B03030,,,,,,,todo,"Four arms, twin butterfly swords. Only Stone soldier who speaks."
LRD_GARMADON_S,Lord Garmadon (Helmet),STONE_ARMY,LORD,LORD,1,1200,12,10,12,45,25,8,99,357,0,0,0,1.25,1105,110,AB_MEGA_WEAPON,,,#1C1C1C,#B03030,,,,,,,todo,Commands the Stone Army via the Helmet of Shadows.
HRO_DARETH,Dareth,STONE_ARMY,HERO,LORD,1,700,10,8,10,35,15,7,99,374,0,0,0,1.15,755,75,AB_HELMET_COMMAND,,,#1C1C1C,#B03030,,,,,,,todo,The Brown Ninja. Genuinely canonically commands this army.
LRD_LLOYD,Lloyd Garmadon,NINJA,LORD,LORD,1,1200,12,10,12,45,25,5,110,420,0,0,0,1.25,1170,117,AB_GOLDEN_DRAGON,,,#1E6FBF,#D9B310,,,,,,,todo,Green/Golden Ninja. Master of Energy.
LRD_WU,Master Wu,NINJA,LORD,LORD,1,1200,12,10,12,45,25,5,110,420,0,0,0,1.25,1170,117,AB_STAFF_OF_WISDOM,,,#1E6FBF,#D9B310,,,,,,,todo,Sensei. Creation Spinjitzu.
HRO_KAI,Kai,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_FIRE_BLAST,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Fire.
HRO_JAY,Jay Walker,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_LIGHTNING_BOLT,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Lightning.
HRO_COLE,Cole,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_EARTHQUAKE,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Earth.
HRO_ZANE,Zane,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_ICE_WALL,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Ice. Nindroid.
HRO_NYA,Nya,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_WATER_WAVE,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Water. Hard-counters Ghosts.
HRO_PIXAL,P.I.X.A.L.,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_OVERCLOCK,,,#1E6FBF,#D9B310,,,,,,,todo,Samurai X.
HRO_MORRO_G,Morro (redeemed),NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_WIND_BURST,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Wind.
HRO_HUTCHINS,Hutchins,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_STAFF_OF_WISDOM,,,#1E6FBF,#D9B310,,,,,,,todo,Head of the Royal Guard.
HRO_HAILMAR,Captain Hailmar,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_STAFF_OF_WISDOM,,,#1E6FBF,#D9B310,,,,,,,todo,Shintaro Royal Guard.
HRO_SKYLOR,Skylor Chen,NINJA,HERO,CMD,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_ANACONDRAI_CURSE,,,#1E6FBF,#D9B310,,,,,,,todo,Master of Amber: copies the ability of whoever she last touched.
HRO_RONIN,Ronin,NINJA,HERO,ELITE,1,700,10,8,10,35,15,4,99,440,0,0,0,1.15,790,79,AB_VANISH,,,#1E6FBF,#D9B310,,,,,,,todo,Mercenary. Available to the highest bidder.
LRD_OVERLORD_D,The Golden Master,NINDROID,LORD,LORD,1,1200,12,10,12,45,25,5,99,420,2,0,0,1.25,1045,104,AB_DARKNESS_FALLS,,,#2B2B2B,#00C2C7,,,,,,,todo,"The Overlord, digitised and rebuilt."
LRD_CRYPTOR,General Cryptor,NINDROID,LORD,LORD,1,1200,12,10,12,45,25,5,99,420,2,0,0,1.25,1045,104,AB_OVERCLOCK,,,#2B2B2B,#00C2C7,,,,,,,todo,Modelled on Zane. Insufferable about it.
HRO_MINDROID,Min-Droid,NINDROID,HERO,ELITE,1,700,10,8,10,35,15,4,99,440,2,0,0,1.15,710,71,AB_LIGHTNING_RUSH,,,#2B2B2B,#00C2C7,,,,,,,todo,Built short. Furious about it.
HRO_SENTRYGEN,Sentry General,NINDROID,HERO,CMD,1,700,10,8,10,35,15,4,99,440,2,0,0,1.15,710,71,AB_OVERCLOCK,,,#2B2B2B,#00C2C7,,,,,,,todo,Commands the Sentries.
LRD_CHEN,Master Chen,CULTISTS,LORD,LORD,1,1200,12,10,12,45,25,5,100,420,0,0,0,1.25,855,85,AB_ANACONDRAI_CURSE,,,#5B2C87,#C8102E,,,,,,,todo,Cult leader. Runs a noodle empire as a front.
LRD_CLOUSE,Clouse,CULTISTS,LORD,LORD,1,1200,12,10,12,45,25,5,100,420,0,0,0,1.25,855,85,AB_DARK_SPELL,,,#5B2C87,#C8102E,,,,,,,todo,Chen's sorcerer and right hand.
HRO_EYEZOR,Eyezor,CULTISTS,HERO,CMD,1,700,10,8,10,35,15,4,90,440,0,0,0,1.15,580,58,AB_BONE_RALLY,,,#5B2C87,#C8102E,,,,,,,todo,"Chief enforcer. Mohawk, eye scar."
HRO_ZUGU,Zugu,CULTISTS,HERO,CMD,1,700,10,8,10,35,15,4,90,440,0,0,0,1.15,580,58,AB_EARTHQUAKE,,,#5B2C87,#C8102E,,,,,,,todo,General. Former sumo.
HRO_KAPAU,Kapau,CULTISTS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,0,0,0,1.15,580,58,AB_ANACONDRAI_CURSE,,,#5B2C87,#C8102E,,,,,,,todo,Later Kapau'rai.
HRO_CHOPE,Chope,CULTISTS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,0,0,0,1.15,580,58,AB_ANACONDRAI_CURSE,,,#5B2C87,#C8102E,,,,,,,todo,Later Chope'rai.
HRO_KRAIT,Krait,CULTISTS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,0,0,0,1.15,580,58,AB_VENOM_CLOUD,,,#5B2C87,#C8102E,,,,,,,todo,Cultist.
HRO_SLEVEN,Sleven,CULTISTS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,0,0,0,1.15,580,58,AB_VENOM_CLOUD,,,#5B2C87,#C8102E,,,,,,,todo,Cultist.
LRD_MORRO,Morro,GHOST,LORD,LORD,1,960,12,10,12,45,40,0,100,420,0,0,0,1.25,800,80,AB_POSSESSION,,,#3FE0A0,#1A1A2E,,,,,,,todo,Wu's first student. Master of Wind. Possesses Lloyd.
HRO_SOULARCHER,Bow Master Soul Archer,GHOST,HERO,CMD,1,560,10,8,10,35,24,0,90,440,0,0,0,1.15,540,54,AB_VANISH,,,#3FE0A0,#1A1A2E,,,,,,,todo,Cursed arrows.
HRO_BANSHA,Blade Master Bansha,GHOST,HERO,CMD,1,560,10,8,10,35,24,0,90,440,0,0,0,1.15,540,54,AB_POSSESSION,,,#3FE0A0,#1A1A2E,,,,,,,todo,Telepath.
HRO_GHOULTAR,Scythe Master Ghoultar,GHOST,HERO,CMD,1,560,10,8,10,35,24,0,90,440,0,0,0,1.15,540,54,AB_EARTHQUAKE,,,#3FE0A0,#1A1A2E,,,,,,,todo,"All strength, no plan."
HRO_WRAYTH,Chain Master Wrayth,GHOST,HERO,CMD,1,560,10,8,10,35,24,0,90,440,0,0,0,1.15,540,54,AB_CONSTRICT,,,#3FE0A0,#1A1A2E,,,,,,,todo,Chain whip and Soul Cycle.
LRD_NADAKHAN,Nadakhan,SKY_PIRATES,LORD,LORD,1,1080,12,10,12,45,25,5,100,462,1,0,0,1.25,860,86,AB_TWISTED_WISH,,,#8B4513,#2E8B57,,,,,,,todo,"Djinn captain. Four arms. Grants wishes, badly."
HRO_FLINTLOCKE,Flintlocke,SKY_PIRATES,HERO,CMD,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_FIRE_BLAST,,,#8B4513,#2E8B57,,,,,,,todo,"First mate. Two pistols, never misses."
HRO_DOGSHANK,Dogshank,SKY_PIRATES,HERO,CMD,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_CONSTRICT,,,#8B4513,#2E8B57,,,,,,,todo,Giant. Anchor and chain.
HRO_DOUBLOON,Doubloon,SKY_PIRATES,HERO,ELITE,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_VANISH,,,#8B4513,#2E8B57,,,,,,,todo,Two-faced. Silent.
HRO_CLANCEE,Clancee,SKY_PIRATES,HERO,ELITE,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_VENOM_CLOUD,,,#8B4513,#2E8B57,,,,,,,todo,Serpentine swabbie. Peg leg. Seasick.
HRO_SQIFFY,Sqiffy,SKY_PIRATES,HERO,ELITE,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_LIGHTNING_RUSH,,,#8B4513,#2E8B57,,,,,,,todo,Youngest of the crew.
HRO_BUCKO,Bucko,SKY_PIRATES,HERO,ELITE,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_FIRE_BLAST,,,#8B4513,#2E8B57,,,,,,,todo,Pirate.
HRO_CYREN,Cyren,SKY_PIRATES,HERO,ELITE,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_HYPNOTIC_GAZE,,,#8B4513,#2E8B57,,,,,,,todo,Her singing voice stops an army.
HRO_MONKEYWR,Monkey Wretch,SKY_PIRATES,HERO,ELITE,1,630,10,8,10,35,15,4,90,484,1,0,0,1.15,585,58,AB_OVERCLOCK,,,#8B4513,#2E8B57,,,,,,,todo,Cybernetic monkey mechanic.
LRD_KRUX,Krux,VERMILLION,LORD,LORD,1,1320,12,10,12,45,25,5,100,399,0,0,0,1.25,950,95,AB_TIME_SLIP,,,#B22222,#4A4A4A,,,,,,,todo,Time Twin. Poses as Dr. Saunders.
LRD_ACRONIX,Acronix,VERMILLION,LORD,LORD,1,1320,12,10,12,45,25,5,100,399,0,0,0,1.25,950,95,AB_TIME_SLIP,,,#B22222,#4A4A4A,,,,,,,todo,Time Twin. The one who skipped 40 years.
HRO_MACHIA,Supreme Commander Machia,VERMILLION,HERO,CMD,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_REFORM,,,#B22222,#4A4A4A,,,,,,,todo,Actually competent. Replaces the other two.
HRO_RAGGMUNK,Commander Raggmunk,VERMILLION,HERO,CMD,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_BONE_RALLY,,,#B22222,#4A4A4A,,,,,,,todo,Ego-driven.
HRO_BLUNCK,Commander Blunck,VERMILLION,HERO,CMD,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_EARTHQUAKE,,,#B22222,#4A4A4A,,,,,,,todo,Brutish.
HRO_SLACKJAW,Slackjaw,VERMILLION,HERO,ELITE,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_REFORM,,,#B22222,#4A4A4A,,,,,,,todo,Named warrior.
HRO_RIVETT,Rivett,VERMILLION,HERO,ELITE,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_REFORM,,,#B22222,#4A4A4A,,,,,,,todo,Named warrior.
HRO_TANNIN,Tannin,VERMILLION,HERO,ELITE,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_REFORM,,,#B22222,#4A4A4A,,,,,,,todo,Named warrior.
HRO_VERMIN,Vermin,VERMILLION,HERO,ELITE,1,770,10,8,10,35,15,4,90,418,0,0,0,1.15,635,63,AB_REFORM,,,#B22222,#4A4A4A,,,,,,,todo,Named warrior.
LRD_HARUMI,Harumi,SONS_OF_GARMADON,LORD,LORD,1,1200,12,10,16,45,25,4,100,483,0,0,0,1.25,900,90,AB_THE_QUIET_ONE,,,#4B0082,#E8E8E8,,,,,,,todo,The Quiet One. Princess of Ninjago. The actual leader.
LRD_GARMADON_R,Lord Garmadon (Reborn),SONS_OF_GARMADON,LORD,LORD,1,1200,12,10,16,45,25,4,100,483,0,0,0,1.25,900,90,AB_MEGA_WEAPON,,,#4B0082,#E8E8E8,,,,,,,todo,"Resurrected. Four arms, no restraint."
HRO_KILLOW,Killow,SONS_OF_GARMADON,HERO,CMD,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_MASK_DECEPTION,,,#4B0082,#E8E8E8,,,,,,,todo,Fist of the Quiet One. Enormous.
HRO_MRE,Mr. E,SONS_OF_GARMADON,HERO,CMD,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_MASK_VENGEANCE,,,#4B0082,#E8E8E8,,,,,,,todo,Fist of the Quiet One. Nindroid.
HRO_ULTRAVIOLET,Ultra Violet,SONS_OF_GARMADON,HERO,CMD,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_MASK_HATRED,,,#4B0082,#E8E8E8,,,,,,,todo,Fist of the Quiet One. Manic.
HRO_LUKE,Luke Cunningham,SONS_OF_GARMADON,HERO,ELITE,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_LIGHTNING_RUSH,,,#4B0082,#E8E8E8,,,,,,,todo,Biker.
HRO_CHOPPER,Chopper Maroon,SONS_OF_GARMADON,HERO,ELITE,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_LIGHTNING_RUSH,,,#4B0082,#E8E8E8,,,,,,,todo,Biker.
HRO_MOHAWK,Mohawk,SONS_OF_GARMADON,HERO,ELITE,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_LIGHTNING_RUSH,,,#4B0082,#E8E8E8,,,,,,,todo,Biker.
HRO_NAILS,Nails,SONS_OF_GARMADON,HERO,ELITE,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_LIGHTNING_RUSH,,,#4B0082,#E8E8E8,,,,,,,todo,Biker.
HRO_SKIPVIC,Skip Vicious,SONS_OF_GARMADON,HERO,ELITE,1,700,10,8,14,35,15,3,90,506,0,0,0,1.15,610,61,AB_LIGHTNING_RUSH,,,#4B0082,#E8E8E8,,,,,,,todo,Biker.
LRD_IRONBARON,Iron Baron,DRAGON_HUNTERS,LORD,LORD,1,1200,12,10,12,45,25,5,100,420,1,0,0,1.25,815,81,AB_DRAGON_BAIT,,,#8B7355,#FF6A00,,,,,,,todo,"Mechanical leg, claw arm, elaborate lie."
HRO_HEAVYMETAL,Heavy Metal (Faith),DRAGON_HUNTERS,HERO,CMD,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_VANISH,,,#8B7355,#FF6A00,,,,,,,todo,Second-in-command. Defects.
HRO_JETJACK,Jet Jack,DRAGON_HUNTERS,HERO,CMD,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_LIGHTNING_RUSH,,,#8B7355,#FF6A00,,,,,,,todo,Jetpack. Sharpshooter.
HRO_DADDYNOLEGS,Daddy No Legs,DRAGON_HUNTERS,HERO,CMD,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_CONSTRICT,,,#8B7355,#FF6A00,,,,,,,todo,Mechanical spider legs.
HRO_MUZZLE,Muzzle,DRAGON_HUNTERS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_EARTHQUAKE,,,#8B7355,#FF6A00,,,,,,,todo,Muzzled brute.
HRO_CHEWTOY,Chew Toy,DRAGON_HUNTERS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_EARTHQUAKE,,,#8B7355,#FF6A00,,,,,,,todo,Hunter.
HRO_ARKADE,Arkade,DRAGON_HUNTERS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_FIRE_BLAST,,,#8B7355,#FF6A00,,,,,,,todo,Hunter.
HRO_SCAR,Scar the Skullbreaker,DRAGON_HUNTERS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_EARTHQUAKE,,,#8B7355,#FF6A00,,,,,,,todo,Hunter.
HRO_OTTOPILOT,Otto Pilot,DRAGON_HUNTERS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_LIGHTNING_RUSH,,,#8B7355,#FF6A00,,,,,,,todo,Pilot.
HRO_DANGERBUFF,Stalwart Dangerbuff,DRAGON_HUNTERS,HERO,ELITE,1,700,10,8,10,35,15,4,90,440,1,0,0,1.15,550,55,AB_BONE_RALLY,,,#8B7355,#FF6A00,,,,,,,todo,Dangerbuff clan.
LRD_OMEGA,The Omega,DRAGON_HUNTERS,LORD,LORD,1,1200,12,10,12,45,25,5,100,420,1,0,0,1.25,815,81,AB_DARKNESS_FALLS,,,#8B7355,#FF6A00,,,,,,,todo,Oni warlord supreme. Turns everything to dust.
LRD_ASPHEERA,Aspheera,PYRO_VIPERS,LORD,LORD,1,1200,12,10,12,50,25,4,100,420,0,0,0,1.25,910,91,AB_STOLEN_SPINJITZU,,,#FF8C00,#8B0000,,,,,,,todo,Stole Wu's Spinjitzu. Holds a 1000-year grudge.
HRO_CHAR,Char,PYRO_VIPERS,HERO,CMD,1,700,10,8,10,38,15,3,90,440,0,0,0,1.15,610,61,AB_ASH_CLOUD,,,#FF8C00,#8B0000,,,,,,,todo,General. Charred survivor.
HRO_MAMBO_V,Mambo V,PYRO_VIPERS,HERO,CMD,1,700,10,8,10,38,15,3,90,440,0,0,0,1.15,610,61,AB_STAFF_OF_WISDOM,,,#FF8C00,#8B0000,,,,,,,todo,Serpentine King. Aspheera's era.
LRD_ICEEMPEROR,The Ice Emperor,BLIZZARD_SAMURAI,LORD,LORD,1,1200,12,10,12,45,25,6,105,378,0,0,0,1.25,905,90,AB_FROZEN_WASTES,,,#BFE8F5,#2C5F7C,,,,,,,todo,"Zane, amnesiac, holding the Scroll of Forbidden Spinjitzu."
LRD_VEX,General Vex,BLIZZARD_SAMURAI,LORD,LORD,1,1200,12,10,12,45,25,6,105,378,0,0,0,1.25,905,90,AB_WHISPERS,,,#BFE8F5,#2C5F7C,,,,,,,todo,The advisor. The actual villain.
HRO_GRIMFAX,Grimfax,BLIZZARD_SAMURAI,HERO,CMD,1,700,10,8,10,35,15,5,94,396,0,0,0,1.15,615,61,AB_ICE_WALL,,,#BFE8F5,#2C5F7C,,,,,,,todo,Former Blizzard general and King of the Never-Realm. Defects.
LRD_CRYSTALKING,The Crystal King,CRYSTAL_ARMY,LORD,LORD,1,1200,12,10,12,45,25,7,100,420,0,0,0,1.25,1010,101,AB_DARKNESS_FALLS,,,#7B2FBF,#00E5FF,,,,,,,todo,The Overlord's final form.
LRD_HARUMI_C,Harumi (Crystal),CRYSTAL_ARMY,LORD,LORD,1,1200,12,10,12,45,25,7,100,420,0,0,0,1.25,1010,101,AB_THE_QUIET_ONE,,,#7B2FBF,#00E5FF,,,,,,,todo,Field commander of the Crystal Army.
LRD_BEATRIX,Empress Beatrix Vespasian-Orus,IMPERIUM,LORD,LORD,1,1200,12,10,12,45,25,6,100,420,1,0,0,1.25,1140,114,AB_EMPRESS_MECH,,,#D4AF37,#14B8B8,,,,,,,todo,"Usurper. Killed her father, imprisoned her sister."
LRD_RAS_I,Lord Ras (Imperium),IMPERIUM,LORD,LORD,1,1200,12,10,12,45,25,6,100,420,1,0,0,1.25,1140,114,AB_RHINO_CHARGE,,,#D4AF37,#14B8B8,,,,,,,todo,Beatrix's second-in-command. Rhino mask.
HRO_RAPTON,Rapton,IMPERIUM,HERO,CMD,1,700,10,8,10,35,15,5,90,440,1,0,0,1.15,775,77,AB_DRAGON_BAIT,,,#D4AF37,#14B8B8,,,,,,,todo,Claw commander.
HRO_DORAMA,Dorama,IMPERIUM,HERO,CMD,1,700,10,8,10,35,15,5,90,440,1,0,0,1.15,775,77,AB_VANISH,,,#D4AF37,#14B8B8,,,,,,,todo,Theatrical master of disguise.
HRO_JORDANA_I,Jordana,IMPERIUM,HERO,CMD,1,700,10,8,10,35,15,5,90,440,1,0,0,1.15,775,77,AB_LIGHTNING_BOLT,,,#D4AF37,#14B8B8,,,,,,,todo,Sora's rival. Ruthlessly competitive.
HRO_LAROW,Dr. LaRow,IMPERIUM,HERO,CMD,1,700,10,8,10,35,15,5,90,440,1,0,0,1.15,775,77,AB_OVERCLOCK,,,#D4AF37,#14B8B8,,,,,,,todo,Chief scientist. Built the MergeQuake weapon.
HRO_MELVIN,Melvin,IMPERIUM,HERO,ELITE,1,700,10,8,10,35,15,5,90,440,1,0,0,1.15,775,77,AB_BONE_RALLY,,,#D4AF37,#14B8B8,,,,,,,todo,Guard. Doing his best.
HRO_CLAWGEN,Claw General,IMPERIUM,HERO,CMD,1,700,10,8,10,35,15,5,90,440,1,0,0,1.15,775,77,AB_RHINO_CHARGE,,,#D4AF37,#14B8B8,,,,,,,todo,Generic general — clone for variety.
LRD_RAS_W,Lord Ras (Wolf Clan),WOLF_CLAN,LORD,LORD,1,1200,12,10,15,45,25,5,100,420,0,0,0,1.25,770,77,AB_PACK_HOWL,,,#5A5A5A,#C8102E,,,,,,,todo,"Same rhino, own army now."
HRO_JORDANA_W,Jordana (Wolf Clan),WOLF_CLAN,HERO,CMD,1,700,10,8,13,35,15,4,90,440,0,0,0,1.15,520,52,AB_LIGHTNING_BOLT,,,#5A5A5A,#C8102E,,,,,,,todo,Lieutenant.
HRO_ASA,Asa,WOLF_CLAN,HERO,ELITE,1,700,10,8,13,35,15,4,90,440,0,0,0,1.15,520,52,AB_PACK_HOWL,,,#5A5A5A,#C8102E,,,,,,,todo,Children of the Wolf.
HRO_BALUN,Balun,WOLF_CLAN,HERO,ELITE,1,700,10,8,13,35,15,4,90,440,0,0,0,1.15,520,52,AB_PACK_HOWL,,,#5A5A5A,#C8102E,,,,,,,todo,Children of the Wolf.
HRO_IRIEL,Iriel,WOLF_CLAN,HERO,ELITE,1,700,10,8,13,35,15,4,90,440,0,0,0,1.15,520,52,AB_PACK_HOWL,,,#5A5A5A,#C8102E,,,,,,,todo,Children of the Wolf.
HRO_WARBY,Warby,WOLF_CLAN,HERO,ELITE,1,700,10,8,13,35,15,4,90,440,0,0,0,1.15,520,52,AB_PACK_HOWL,,,#5A5A5A,#C8102E,,,,,,,todo,Children of the Wolf.
HRO_ZURI,Zuri,WOLF_CLAN,HERO,ELITE,1,700,10,8,13,35,15,4,90,440,0,0,0,1.15,520,52,AB_PACK_HOWL,,,#5A5A5A,#C8102E,,,,,,,todo,Children of the Wolf.
LRD_BONEKING,Bone King,GREENBONES,LORD,LORD,1,1080,12,10,12,45,25,5,99,420,0,0,0,1.25,680,68,AB_RISE_AGAIN,,,#8FBF3F,#2F2F2F,,,,,,,todo,Every enemy that dies near him joins him.
